,cntry,year,idno,tvtot,ppltrst,pplfair,pplhlp,Sum_A,sclmeet,sclact,gndr,partner,Sum_B,agea,happy
0,CH,6,5.0,3.0,3.0,10.0,5.0,18.0,5.0,4.0,2.0,1.0,7.0,60.0,8.0
1,CH,6,25.0,6.0,5.0,7.0,5.0,17.0,3.0,2.0,2.0,1.0,5.0,59.0,9.0
2,CH,6,26.0,1.0,8.0,8.0,8.0,24.0,6.0,3.0,1.0,2.0,6.0,24.0,7.0
3,CH,6,28.0,4.0,6.0,6.0,7.0,19.0,6.0,2.0,2.0,1.0,5.0,64.0,10.0
4,CH,6,29.0,5.0,6.0,7.0,5.0,18.0,7.0,2.0,2.0,1.0,5.0,55.0,8.0
5,CH,6,36.0,4.0,6.0,7.0,3.0,16.0,7.0,4.0,2.0,2.0,8.0,,8.0
6,CH,6,40.0,3.0,0.0,5.0,2.0,7.0,2.0,2.0,1.0,1.0,4.0,76.0,0.0
7,CH,6,41.0,2.0,4.0,5.0,3.0,12.0,5.0,2.0,2.0,1.0,5.0,30.0,10.0
8,CH,6,51.0,2.0,8.0,8.0,8.0,24.0,6.0,4.0,2.0,2.0,8.0,84.0,9.0
9,CH,6,53.0,4.0,4.0,4.0,8.0,16.0,4.0,2.0,2.0,1.0,5.0,62.0,7.0
10,CH,6,55.0,1.0,6.0,7.0,7.0,20.0,5.0,2.0,2.0,1.0,5.0,33.0,9.0
11,CH,6,56.0,4.0,5.0,7.0,7.0,19.0,5.0,3.0,1.0,1.0,5.0,40.0,7.0
12,CH,6,57.0,4.0,7.0,7.0,4.0,18.0,6.0,2.0,1.0,1.0,4.0,69.0,9.0
13,CH,6,58.0,2.0,1.0,9.0,7.0,17.0,4.0,3.0,1.0,2.0,6.0,59.0,8.0
14,CH,6,68.0,4.0,4.0,5.0,3.0,12.0,1.0,2.0,2.0,1.0,5.0,32.0,8.0
15,CH,6,73.0,5.0,4.0,5.0,5.0,14.0,3.0,3.0,2.0,1.0,6.0,70.0,9.0
16,CH,6,81.0,4.0,5.0,7.0,7.0,19.0,3.0,3.0,1.0,1.0,5.0,61.0,8.0
17,CH,6,82.0,2.0,7.0,7.0,7.0,21.0,6.0,3.0,1.0,1.0,5.0,30.0,6.0
18,CH,6,84.0,0.0,9.0,7.0,8.0,24.0,5.0,4.0,1.0,2.0,7.0,21.0,9.0
19,CH,6,86.0,2.0,6.0,6.0,6.0,18.0,4.0,3.0,2.0,1.0,6.0,36.0,8.0
20,CH,6,87.0,7.0,3.0,4.0,4.0,11.0,6.0,4.0,1.0,1.0,6.0,51.0,7.0
21,CH,6,96.0,1.0,8.0,8.0,6.0,22.0,7.0,4.0,1.0,2.0,7.0,25.0,8.0
22,CH,6,98.0,2.0,7.0,7.0,8.0,22.0,6.0,3.0,1.0,1.0,5.0,62.0,9.0
23,CH,6,104.0,2.0,4.0,8.0,8.0,20.0,6.0,2.0,2.0,2.0,6.0,20.0,9.0
24,CH,6,108.0,0.0,7.0,7.0,4.0,18.0,4.0,2.0,2.0,1.0,5.0,22.0,9.0
25,CH,6,117.0,0.0,6.0,7.0,5.0,18.0,6.0,2.0,2.0,1.0,5.0,32.0,7.0
26,CH,6,118.0,2.0,7.0,6.0,5.0,18.0,4.0,3.0,2.0,1.0,6.0,35.0,8.0
27,CH,6,119.0,0.0,5.0,8.0,6.0,19.0,4.0,2.0,2.0,1.0,5.0,26.0,9.0
28,CH,6,121.0,2.0,8.0,8.0,8.0,24.0,6.0,3.0,2.0,1.0,6.0,35.0,10.0
29,CH,6,133.0,7.0,8.0,5.0,5.0,18.0,5.0,3.0,2.0,1.0,6.0,54.0,8.0
30,CH,6,135.0,6.0,8.0,8.0,3.0,19.0,6.0,1.0,2.0,2.0,5.0,38.0,5.0
31,CH,6,137.0,3.0,2.0,3.0,2.0,7.0,5.0,2.0,1.0,1.0,4.0,38.0,9.0
32,CH,6,148.0,0.0,5.0,6.0,10.0,21.0,6.0,2.0,2.0,2.0,6.0,82.0,10.0
33,CH,6,149.0,5.0,8.0,3.0,2.0,13.0,6.0,3.0,1.0,2.0,6.0,69.0,6.0
34,CH,6,161.0,1.0,7.0,7.0,8.0,22.0,4.0,3.0,2.0,2.0,7.0,24.0,6.0
35,CH,6,162.0,7.0,7.0,6.0,8.0,21.0,6.0,2.0,2.0,1.0,5.0,53.0,8.0
36,CH,6,168.0,2.0,6.0,6.0,7.0,19.0,6.0,3.0,2.0,2.0,7.0,46.0,8.0
37,CH,6,177.0,4.0,5.0,8.0,8.0,21.0,4.0,3.0,1.0,1.0,5.0,38.0,8.0
38,CH,6,179.0,4.0,7.0,7.0,3.0,17.0,6.0,3.0,1.0,1.0,5.0,47.0,9.0
39,CH,6,180.0,6.0,5.0,7.0,4.0,16.0,4.0,2.0,1.0,1.0,4.0,72.0,7.0
40,CH,6,185.0,2.0,4.0,4.0,5.0,13.0,7.0,3.0,1.0,2.0,6.0,22.0,9.0
41,CH,6,193.0,5.0,3.0,5.0,5.0,13.0,3.0,4.0,2.0,1.0,7.0,,8.0
42,CH,6,200.0,2.0,9.0,7.0,7.0,23.0,7.0,2.0,1.0,2.0,5.0,16.0,9.0
43,CH,6,216.0,1.0,7.0,5.0,7.0,19.0,7.0,3.0,1.0,2.0,6.0,20.0,7.0
44,CH,6,218.0,0.0,8.0,8.0,7.0,23.0,5.0,2.0,1.0,1.0,4.0,42.0,9.0
45,CH,6,219.0,5.0,7.0,7.0,7.0,21.0,7.0,3.0,2.0,2.0,7.0,16.0,8.0
46,CH,6,220.0,4.0,7.0,7.0,7.0,21.0,6.0,3.0,1.0,2.0,6.0,57.0,8.0
47,CH,6,231.0,2.0,8.0,8.0,7.0,23.0,6.0,4.0,2.0,1.0,7.0,45.0,8.0
48,CH,6,232.0,1.0,8.0,8.0,6.0,22.0,4.0,4.0,1.0,1.0,6.0,28.0,9.0
49,CH,6,251.0,3.0,5.0,5.0,4.0,14.0,3.0,2.0,1.0,1.0,4.0,85.0,6.0
50,CH,6,257.0,2.0,7.0,5.0,6.0,18.0,6.0,3.0,1.0,1.0,5.0,48.0,8.0
51,CH,6,258.0,2.0,9.0,9.0,8.0,26.0,5.0,2.0,1.0,2.0,5.0,85.0,9.0
52,CH,6,260.0,6.0,0.0,1.0,5.0,6.0,2.0,1.0,2.0,2.0,5.0,52.0,6.0
53,CH,6,261.0,2.0,3.0,5.0,5.0,13.0,5.0,3.0,2.0,2.0,7.0,30.0,8.0
54,CH,6,270.0,2.0,6.0,8.0,8.0,22.0,5.0,3.0,2.0,1.0,6.0,51.0,10.0
55,CH,6,271.0,1.0,10.0,9.0,9.0,28.0,6.0,2.0,2.0,1.0,5.0,29.0,7.0
56,CH,6,273.0,2.0,7.0,8.0,7.0,22.0,5.0,3.0,1.0,1.0,5.0,51.0,8.0
57,CH,6,279.0,1.0,8.0,8.0,5.0,21.0,5.0,3.0,1.0,2.0,6.0,62.0,8.0
58,CH,6,295.0,0.0,6.0,9.0,6.0,21.0,4.0,3.0,2.0,1.0,6.0,27.0,10.0
59,CH,6,297.0,3.0,8.0,9.0,4.0,21.0,6.0,3.0,1.0,2.0,6.0,42.0,8.0
60,CH,6,303.0,3.0,6.0,3.0,7.0,16.0,7.0,2.0,2.0,1.0,5.0,47.0,9.0
61,CH,6,308.0,0.0,8.0,6.0,6.0,20.0,4.0,2.0,2.0,2.0,6.0,24.0,9.0
62,CH,6,318.0,4.0,8.0,8.0,5.0,21.0,5.0,3.0,1.0,1.0,5.0,79.0,10.0
63,CH,6,322.0,3.0,5.0,7.0,4.0,16.0,5.0,3.0,2.0,1.0,6.0,70.0,9.0
64,CH,6,323.0,3.0,3.0,3.0,3.0,9.0,3.0,2.0,2.0,1.0,5.0,44.0,9.0
65,CH,6,332.0,7.0,6.0,7.0,5.0,18.0,4.0,2.0,2.0,1.0,5.0,70.0,8.0
66,CH,6,333.0,2.0,3.0,3.0,3.0,9.0,6.0,3.0,1.0,1.0,5.0,30.0,8.0
67,CH,6,339.0,4.0,4.0,7.0,8.0,19.0,7.0,5.0,2.0,2.0,9.0,92.0,6.0
68,CH,6,345.0,2.0,7.0,7.0,3.0,17.0,5.0,3.0,1.0,1.0,5.0,45.0,9.0
69,CH,6,354.0,5.0,4.0,7.0,6.0,17.0,3.0,2.0,1.0,1.0,4.0,50.0,7.0
70,CH,6,357.0,2.0,7.0,7.0,8.0,22.0,5.0,3.0,2.0,1.0,6.0,37.0,8.0
71,CH,6,359.0,1.0,7.0,6.0,7.0,20.0,6.0,3.0,1.0,1.0,5.0,48.0,8.0
72,CH,6,362.0,3.0,1.0,6.0,5.0,12.0,4.0,3.0,1.0,1.0,5.0,64.0,9.0
73,CH,6,369.0,5.0,8.0,5.0,4.0,17.0,5.0,3.0,1.0,1.0,5.0,75.0,10.0
74,CH,6,380.0,1.0,5.0,7.0,3.0,15.0,4.0,5.0,1.0,2.0,8.0,20.0,10.0
75,CH,6,400.0,0.0,7.0,8.0,8.0,23.0,6.0,3.0,2.0,1.0,6.0,45.0,9.0
76,CH,6,402.0,6.0,4.0,6.0,2.0,12.0,4.0,2.0,2.0,2.0,6.0,79.0,8.0
77,CH,6,404.0,2.0,4.0,5.0,3.0,12.0,5.0,3.0,1.0,2.0,6.0,47.0,8.0
78,CH,6,405.0,2.0,8.0,7.0,9.0,24.0,3.0,3.0,1.0,2.0,6.0,19.0,10.0
79,CH,6,407.0,2.0,8.0,8.0,5.0,21.0,5.0,2.0,1.0,1.0,4.0,52.0,9.0
80,CH,6,412.0,2.0,5.0,5.0,8.0,18.0,4.0,2.0,1.0,1.0,4.0,60.0,6.0
81,CH,6,417.0,4.0,2.0,5.0,4.0,11.0,4.0,3.0,2.0,2.0,7.0,31.0,9.0
82,CH,6,420.0,2.0,4.0,5.0,5.0,14.0,7.0,3.0,2.0,2.0,7.0,35.0,9.0
83,CH,6,422.0,1.0,7.0,8.0,4.0,19.0,2.0,2.0,1.0,1.0,4.0,48.0,6.0
84,CH,6,425.0,3.0,0.0,2.0,0.0,2.0,6.0,3.0,2.0,2.0,7.0,37.0,8.0
85,CH,6,427.0,4.0,6.0,5.0,4.0,15.0,6.0,3.0,2.0,1.0,6.0,65.0,10.0
86,CH,6,430.0,3.0,6.0,3.0,3.0,12.0,7.0,5.0,1.0,1.0,7.0,68.0,7.0
87,CH,6,434.0,3.0,5.0,5.0,2.0,12.0,5.0,2.0,1.0,2.0,5.0,27.0,1.0
88,CH,6,441.0,5.0,5.0,8.0,8.0,21.0,6.0,2.0,2.0,2.0,6.0,84.0,5.0
89,CH,6,443.0,7.0,4.0,3.0,1.0,8.0,4.0,2.0,2.0,2.0,6.0,40.0,8.0
90,CH,6,444.0,2.0,8.0,7.0,5.0,20.0,6.0,4.0,1.0,1.0,6.0,28.0,9.0
91,CH,6,447.0,5.0,3.0,5.0,4.0,12.0,3.0,3.0,1.0,1.0,5.0,58.0,7.0
92,CH,6,448.0,2.0,7.0,8.0,6.0,21.0,2.0,2.0,1.0,1.0,4.0,58.0,7.0
93,CH,6,456.0,2.0,4.0,7.0,5.0,16.0,2.0,2.0,2.0,1.0,5.0,39.0,7.0
94,CH,6,457.0,0.0,8.0,8.0,8.0,24.0,4.0,2.0,2.0,2.0,6.0,20.0,8.0
95,CH,6,459.0,3.0,8.0,5.0,7.0,20.0,6.0,2.0,1.0,1.0,4.0,32.0,7.0
96,CH,6,461.0,3.0,6.0,7.0,7.0,20.0,6.0,3.0,1.0,2.0,6.0,16.0,8.0
